year,county,contest,dem,other,rep,total
2000,Adams,president,54132.0,6159.0,47561.0,107852.0
2000,Alamosa,president,2455.0,347.0,2857.0,5659.0
2000,Arapahoe,president,82614.0,9560.0,97768.0,189942.0
2000,Archuleta,president,1432.0,338.0,2988.0,4758.0
2000,Baca,president,531.0,84.0,1663.0,2278.0
2000,Bent,president,783.0,84.0,1096.0,1963.0
2000,Boulder,president,69983.0,18770.0,50873.0,139626.0
2000,Chaffee,president,2768.0,542.0,4300.0,7610.0
2000,Cheyenne,president,209.0,46.0,957.0,1212.0
2000,Clear Creek,president,2188.0,489.0,2247.0,4924.0
2000,Conejos,president,1749.0,150.0,1772.0,3671.0
2000,Costilla,president,1054.0,90.0,504.0,1648.0
2000,Crowley,president,511.0,79.0,855.0,1445.0
2000,Custer,president,507.0,153.0,1451.0,2111.0
2000,Delta,president,3264.0,1050.0,8372.0,12686.0
2000,Denver,president,122693.0,14430.0,61224.0,198347.0
2000,Dolores,president,293.0,100.0,741.0,1134.0
2000,Douglas,president,27076.0,3142.0,56007.0,86225.0
2000,Eagle,president,6772.0,1251.0,7165.0,15188.0
2000,El Paso,president,61799.0,10664.0,128294.0,200757.0
2000,Elbert,president,2326.0,488.0,6151.0,8965.0
2000,Fremont,president,5293.0,849.0,9914.0,16056.0
2000,Garfield,president,6087.0,1914.0,9103.0,17104.0
2000,Gilpin,president,1099.0,360.0,1006.0,2465.0
2000,Grand,president,2308.0,475.0,3570.0,6353.0
2000,Gunnison,president,3059.0,1049.0,3128.0,7236.0
2000,Hinsdale,president,188.0,62.0,316.0,566.0
2000,Huerfano,president,1495.0,213.0,1466.0,3174.0
2000,Jackson,president,173.0,70.0,682.0,925.0
2000,Jefferson,president,100970.0,14383.0,120138.0,235491.0
2000,Kiowa,president,211.0,29.0,728.0,968.0
2000,Kit Carson,president,809.0,107.0,2542.0,3458.0
2000,La Plata,president,7864.0,2633.0,9993.0,20490.0
2000,Lake,president,1296.0,276.0,1056.0,2628.0
2000,Larimer,president,46055.0,10053.0,62429.0,118537.0
2000,Las Animas,president,3243.0,282.0,2569.0,6094.0
2000,Lincoln,president,510.0,59.0,1630.0,2199.0
2000,Logan,president,2296.0,269.0,5531.0,8096.0
2000,Mesa,president,15465.0,3193.0,32396.0,51054.0
2000,Mineral,president,168.0,24.0,294.0,486.0
2000,Moffat,president,1223.0,274.0,3840.0,5337.0
2000,Montezuma,president,2556.0,670.0,6158.0,9384.0
2000,Montrose,president,4041.0,908.0,9266.0,14215.0
2000,Morgan,president,2885.0,391.0,5722.0,8998.0
2000,Otero,president,2963.0,267.0,4082.0,7312.0
2000,Ouray,president,705.0,249.0,1279.0,2233.0
2000,Park,president,2393.0,595.0,3677.0,6665.0
2000,Phillips,president,564.0,83.0,1573.0,2220.0
2000,Pitkin,president,4137.0,1098.0,2565.0,7800.0
2000,Prowers,president,1361.0,137.0,3026.0,4524.0
2000,Pueblo,president,28888.0,2231.0,22827.0,53946.0
2000,Rio Blanco,president,543.0,127.0,2185.0,2855.0
2000,Rio Grande,president,1707.0,257.0,3111.0,5075.0
2000,Routt,president,4208.0,958.0,4472.0,9638.0
2000,Saguache,president,1145.0,306.0,1078.0,2529.0
2000,San Juan,president,149.0,77.0,210.0,436.0
2000,San Miguel,president,1598.0,614.0,1043.0,3255.0
2000,Sedgwick,president,384.0,42.0,877.0,1303.0
2000,Summit,president,5304.0,1267.0,4497.0,11068.0
2000,Teller,president,2750.0,620.0,6477.0,9847.0
2000,Washington,president,477.0,90.0,1878.0,2445.0
2000,Weld,president,23436.0,3696.0,37409.0,64541.0
2000,Yuma,president,1082.0,120.0,3156.0,4358.0
2004,Adams,president,69127.0,1638.0,65912.0,136677.0
2004,Adams,us_senate,76101.0,3439.0,55442.0,134982.0
2004,Alamosa,president,3027.0,73.0,3179.0,6279.0
2004,Alamosa,us_senate,3937.0,100.0,2158.0,6195.0
2004,Arapahoe,president,110456.0,2434.0,119475.0,232365.0
2004,Arapahoe,us_senate,120225.0,4208.0,105928.0,230361.0
2004,Archuleta,president,2141.0,97.0,3601.0,5839.0
2004,Archuleta,us_senate,2531.0,195.0,3051.0,5777.0
2004,Baca,president,483.0,23.0,1680.0,2186.0
2004,Baca,us_senate,848.0,52.0,1248.0,2148.0
2004,Bent,president,785.0,32.0,1338.0,2155.0
2004,Bent,us_senate,1124.0,59.0,962.0,2145.0
2004,Boulder,president,105566.0,2107.0,51586.0,159259.0
2004,Boulder,us_senate,106481.0,3033.0,47900.0,157414.0
2004,Broomfield,president,10935.0,293.0,12007.0,23235.0
2004,Broomfield,us_senate,11940.0,457.0,10588.0,22985.0
2004,Chaffee,president,3767.0,128.0,4875.0,8770.0
2004,Chaffee,us_senate,4229.0,186.0,4286.0,8701.0
2004,Cheyenne,president,198.0,13.0,923.0,1134.0
2004,Cheyenne,us_senate,330.0,36.0,762.0,1128.0
2004,Clear Creek,president,2989.0,102.0,2522.0,5613.0
2004,Clear Creek,us_senate,3179.0,162.0,2246.0,5587.0
2004,Conejos,president,1897.0,42.0,1864.0,3803.0
