district,name,total_population,cvap_total,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 01,,59231,53.67,2.85,35.82,0.13,4.91,0.08,2.52
2,District 02,,73123,85.07,1.96,7.54,0.36,2.31,0.01,2.66
3,District 03,,65363,73.18,5.55,14.93,0.47,2.65,0.06,3.14
4,District 04,,65427,63.08,3.14,27.5,0.42,2.01,0.7,3.27
5,District 05,,70206,64.92,5.17,22.23,0.42,2.82,0.36,4.01
6,District 06,,72058,74.37,7.56,11.7,0.12,2.46,0.01,3.86
7,District 07,,56346,27.29,28.44,35.71,0.3,5.89,0.06,2.23
8,District 08,,67498,63.93,14.16,15.26,0.35,2.71,0.02,3.6
9,District 09,,68380,69.45,9.95,12.85,0.45,2.96,0.01,4.33
10,District 10,,74416,81.37,1.08,10.12,0.13,4.02,0.05,3.23
11,District 11,,66784,74.18,0.95,18.62,0.32,2.84,0.13,2.92
12,District 12,,63811,82.78,0.74,9.34,0.05,4.5,0.03,2.54
13,District 13,,74934,86.49,0.72,9.31,0.31,0.71,0.11,2.33
14,District 14,,70428,79.5,3.55,9.31,0.29,3.5,0.21,3.63
15,District 15,,65994,66.14,6.43,18.25,0.3,4.15,0.55,4.26
16,District 16,,71346,74.03,4.63,14.87,0.24,1.48,0.06,4.67
17,District 17,,58178,50.11,12.99,27.88,0.37,2.63,0.11,5.92
18,District 18,,71309,80.19,3.17,10.88,0.26,2.06,0.31,3.14
19,District 19,,70696,78.52,0.57,15.08,0.22,3.43,0.05,2.18
20,District 20,,69068,83.36,3.36,7.66,0.1,2.46,0.17,2.79
21,District 21,,61547,62.18,10.0,20.54,0.34,2.35,0.61,3.99
22,District 22,,67559,75.99,4.19,13.64,0.24,2.19,0.15,3.61
23,District 23,,70799,79.8,1.26,14.69,0.42,1.47,0.07,2.47
24,District 24,,69939,82.81,0.8,12.15,0.08,1.76,0.0,2.44
25,District 25,,68110,89.5,0.46,6.15,0.12,1.84,0.03,1.9
26,District 26,,67402,83.28,0.67,13.02,0.28,0.95,0.15,1.8
27,District 27,,69964,83.6,1.04,10.08,0.27,2.96,0.06,1.85
28,District 28,,67328,79.83,0.96,13.72,0.26,3.09,0.08,2.01
29,District 29,,69586,75.73,1.1,15.89,0.35,4.47,0.01,2.51
30,District 30,,68217,69.53,1.51,22.34,0.3,3.27,0.16,2.85
31,District 31,,54932,53.15,2.85,36.49,0.64,3.78,0.29,2.85
32,District 32,,58942,49.58,3.54,41.03,0.15,2.8,0.05,2.77
33,District 33,,68105,78.56,1.27,12.47,0.23,5.1,0.08,2.32
34,District 34,,62730,63.17,2.66,26.57,0.26,3.93,0.06,3.36
35,District 35,,56043,51.04,1.08,41.7,0.44,3.12,0.42,2.14
36,District 36,,55219,45.42,16.77,26.0,0.31,6.19,0.45,5.18
37,District 37,,63251,80.33,3.21,7.67,0.18,5.44,0.13,3.04
38,District 38,,69203,84.84,1.35,9.23,0.2,2.12,0.08,2.22
39,District 39,,69425,85.05,1.52,7.36,0.35,3.88,0.14,1.73
40,District 40,,63427,61.31,12.28,15.58,0.33,5.82,0.08,4.62
41,District 41,,61079,55.8,16.88,17.65,0.38,5.56,0.14,3.59
42,District 42,,51963,38.27,22.66,30.41,0.27,4.25,0.27,3.87
43,District 43,,65697,83.44,0.88,9.02,0.11,4.53,0.05,1.98
44,District 44,,66766,79.5,2.41,10.19,0.14,5.01,0.06,2.77
45,District 45,,71586,83.55,0.81,9.55,0.15,2.55,0.17,3.13
46,District 46,,70245,57.92,2.38,36.36,0.56,0.74,0.04,1.94
47,District 47,,70722,64.29,1.45,30.4,0.8,0.73,0.07,2.24
48,District 48,,64959,63.92,1.69,30.55,0.4,1.13,0.12,2.31
49,District 49,,69304,91.32,0.46,4.49,0.53,1.05,0.08,2.06
50,District 50,,57299,55.37,2.45,38.43,0.27,1.07,0.13,2.13
51,District 51,,70712,85.09,0.96,10.71,0.14,1.25,0.14,1.72
52,District 52,,68658,82.91,1.05,10.75,0.26,2.48,0.21,2.41
53,District 53,,76640,83.26,1.38,10.27,0.29,1.75,0.06,2.95
54,District 54,,69716,85.38,0.47,11.34,0.28,0.51,0.03,2.01
55,District 55,,70691,83.22,0.76,12.59,0.54,0.82,0.04,2.01
56,District 56,,68204,82.49,1.72,11.3,0.36,1.25,0.13,2.51
57,District 57,,62166,79.26,0.66,17.06,0.27,0.87,0.12,1.6
58,District 58,,72957,85.67,0.56,10.45,0.48,0.41,0.01,2.51
59,District 59,,74042,80.36,0.18,10.35,5.01,0.75,0.04,3.23
60,District 60,,76203,82.46,2.24,11.34,0.7,0.51,0.03,2.75
61,District 61,,66510,71.02,6.82,10.75,0.22,8.02,0.13,3.06
62,District 62,,66115,49.06,1.58,45.65,0.82,0.51,0.09,2.35
63,District 63,,63313,76.95,2.33,17.51,0.52,0.5,0.13,2.02
64,District 64,,69673,77.63,0.41,18.88,0.28,1.21,0.05,1.48
65,District 65,,73628,85.06,0.83,10.76,0.21,1.28,0.07,1.83
