precinct_id,CVAP_TOT24
ADAMS - 001001,2337
ADAMS - 001002,2105
ADAMS - 001003,2096
ADAMS - 001004,1257
ADAMS - 001005,1894
ADAMS - 001006,1671
ADAMS - 001007,1098
ADAMS - 001008,1215
ADAMS - 001009,881
ADAMS - 001010,2253
ADAMS - 001011,3014
ADAMS - 001012,1566
ADAMS - 001013,1909
ADAMS - 001014,1196
ADAMS - 001015,2941
ADAMS - 001016,1427
ADAMS - 001017,867
ADAMS - 001018,1481
ADAMS - 001019,1038
ADAMS - 001020,1581
ADAMS - 001021,2412
ADAMS - 001022,1716
ADAMS - 001023,1672
ADAMS - 001024,1598
ADAMS - 001025,1704
ADAMS - 001026,2561
ADAMS - 001027,1865
ADAMS - 001028,1638
ADAMS - 001029,2582
ADAMS - 001030,1781
ADAMS - 001031,1712
ADAMS - 001032,1260
ADAMS - 001033,2128
ADAMS - 001034,1354
ADAMS - 001035,1509
ADAMS - 001036,1183
ADAMS - 001037,1133
ADAMS - 001038,2208
ADAMS - 001039,1402
ADAMS - 001040,984
ADAMS - 001041,1357
ADAMS - 001042,1199
ADAMS - 001043,933
ADAMS - 001044,1616
ADAMS - 001045,624
ADAMS - 001046,607
ADAMS - 001047,1065
ADAMS - 001048,807
ADAMS - 001049,1217
ADAMS - 001050,1282
ADAMS - 001051,2218
ADAMS - 001052,2324
ADAMS - 001053,1379
ADAMS - 001054,916
ADAMS - 001055,1183
ADAMS - 001056,1232
ADAMS - 001057,1210
ADAMS - 001058,1461
ADAMS - 001059,1151
ADAMS - 001060,1677
ADAMS - 001061,1701
ADAMS - 001062,1418
ADAMS - 001063,1614
ADAMS - 001064,2406
ADAMS - 001065,1486
ADAMS - 001066,1048
ADAMS - 001067,989
ADAMS - 001068,1337
ADAMS - 001069,2046
ADAMS - 001070,958
ADAMS - 001071,1223
ADAMS - 001072,933
ADAMS - 001073,2242
ADAMS - 001074,1217
ADAMS - 001075,749
ADAMS - 001076,1376
ADAMS - 001077,1126
ADAMS - 001078,707
ADAMS - 001079,861
ADAMS - 001080,1145
ADAMS - 001081,964
ADAMS - 001082,952
ADAMS - 001083,1547
ADAMS - 001084,644
ADAMS - 001085,1131
ADAMS - 001086,938
ADAMS - 001087,2997
ADAMS - 001088,1878
ADAMS - 001089,1687
ADAMS - 001090,3015
ADAMS - 001091,1479
ADAMS - 001092,1717
ADAMS - 001093,1830
ADAMS - 001094,1558
ADAMS - 001095,1746
ADAMS - 001096,1391
ADAMS - 001097,1619
ADAMS - 001098,1018
ADAMS - 001099,1138
ADAMS - 001100,1749
ADAMS - 001101,2335
ADAMS - 001102,1662
ADAMS - 001103,1163
ADAMS - 001104,1291
ADAMS - 001105,416
ADAMS - 001106,2246
ADAMS - 001107,1812
ADAMS - 001108,2333
ADAMS - 001109,1656
